model_key,category,bertscore_f1_fullcontext,bertscore_f1_rag,f1_fullcontext,f1_rag,meteor_fullcontext,meteor_rag
deepseek-r1-14b-4bit,binary,,,0.6442687747035574,0.7285067873303168,,
deepseek-r1-14b-4bit,open_ended,0.6820975912941827,0.6928743931982252,,,0.193804220991307,0.22006842567727042
deepseek-r1-14b-4bit,short_answer,0.6622901976108551,0.6629860321680705,0.1301157471767168,0.1323003099922854,,
deepseek-r1-14b-8bit,binary,,,0.4301589352629539,0.7205316109800025,,
deepseek-r1-14b-8bit,open_ended,0.6779069079293145,0.6945723447534773,,,0.18730212990216463,0.22086694222286546
deepseek-r1-14b-8bit,short_answer,0.6554804371462928,0.664301833179262,0.12072058588606617,0.12224792245663589,,
deepseek-r1-14b-f16,binary,,,0.4301589352629539,0.7631282115553327,,
deepseek-r1-14b-f16,open_ended,0.6836319930023618,0.6925116512510512,,,0.2051986894351871,0.21312552737171359
deepseek-r1-14b-f16,short_answer,0.6556580914391412,0.6667771975199381,0.12324805224974555,0.13583763897210746,,
llama3.1-8b-4bit,binary,,,0.7741381587637036,0.6914285714285715,,
llama3.1-8b-4bit,open_ended,0.69010954035653,0.6793982485930125,,,0.23442460298687406,0.11028894330818849
llama3.1-8b-4bit,short_answer,0.7285363584756851,0.6546341303322051,0.32248145048962906,0.09593954420401288,,
llama3.1-8b-f16,binary,,,0.8377403846153846,0.7246302906680266,,
llama3.1-8b-f16,open_ended,0.6928036769231161,0.6901993254820505,,,0.2502763391379185,0.22402344873872243
llama3.1-8b-f16,short_answer,0.7015630705489053,0.6568195293347041,0.2695257610783386,0.10138911277375766,,
qwen2.5-3b,binary,,,0.5089285714285714,0.5430340557275543,,
qwen2.5-3b,open_ended,0.6735800246397654,0.681826447116004,,,0.19300191306424277,0.19388629448748027
qwen2.5-3b,short_answer,0.7720769584178925,0.7459494928518932,0.3396743793689927,0.2775017736152927,,
