model_key,context_strategy,mean_generation_time_s,median_generation_time_s,est_cost_per_1000_queries_usd
deepseek-r1-14b-4bit,fullcontext,13.74,10.705,3.6639
deepseek-r1-14b-4bit,rag,3.395,1.65,0.9054
deepseek-r1-14b-8bit,fullcontext,21.011,13.585,5.6028
deepseek-r1-14b-8bit,rag,8.847,3.855,2.3592
deepseek-r1-14b-f16,fullcontext,16.574,11.89,4.4197
deepseek-r1-14b-f16,rag,5.093,2.305,1.3583
llama3.1-8b-4bit,fullcontext,7.262,5.55,1.9366
llama3.1-8b-4bit,rag,0.753,0.59,0.2008
llama3.1-8b-f16,fullcontext,8.577,5.845,2.2871
llama3.1-8b-f16,rag,2.183,0.94,0.5823
qwen2.5-3b,fullcontext,4.044,2.665,1.0784
qwen2.5-3b,rag,1.417,0.43,0.378
